realization,al,alkalinity,as,ba,ca,cl,cr,f,fe,k,mg,mn,na,p,ph,s6,si,sr,u,is_base,iteration
49,1.991609477266002e-08,0.0026121025780322885,1.9983999073359985e-09,1.6563873295370007e-06,0.00041295295233820007,6.446890194711997e-05,9.376116294089005e-09,8.914632859932999e-05,8.822104623368992e-06,4.213089590979002e-05,2.7341944526010015e-05,3.4165284851029966e-07,0.0027354138680719996,1.3790100802980012e-09,1.089448303573223e-08,0.00024150287147729993,0.00013997234097790006,3.6713153693629965e-06,1.8304768031939996e-10,False,3
5,1.8158438404469992e-08,0.0026616585903874493,1.3292322152529982e-09,5.330171006593001e-07,0.0004775298342370002,7.774062762676006e-05,9.683708815808984e-09,8.897878676583002e-05,9.974112744335999e-06,4.199570076800998e-05,3.190467580153998e-05,2.6605571782990013e-07,0.002763915781084,1.340231599841002e-09,1.2590161236892504e-08,0.00038629456678570005,0.00014045168446100002,2.7010025299909983e-06,8.402938336958994e-11,False,3
50,1.9205148732169995e-08,0.0024950979342471687,1.1614274896119997e-09,1.1963615938079996e-06,0.0004613247158496001,5.293456952341002e-05,8.230254091810988e-09,8.898683475190993e-05,9.476338177620007e-06,4.2002115900259986e-05,3.0684569760510025e-05,4.1748250720820037e-07,0.0027385837839850003,1.2596208317039987e-09,1.1520196483854498e-08,0.0003099172073274001,0.00014043765966589999,4.8172142621119994e-06,8.403120421764987e-11,False,3
51,1.9500369066870003e-08,0.0026002246752146593,1.6354581997510012e-09,1.0073223826319992e-06,0.00042741649154579985,9.612820547803998e-05,7.701056472937996e-09,8.862753922364999e-05,9.042220120101002e-06,4.1711734270039974e-05,2.835860605479003e-05,5.424944502753004e-07,0.0028149867223840014,1.3615629334759978e-09,1.1151404723707496e-08,0.00027635594646909997,0.00014148937323509993,1.916859046399001e-06,8.403080262630999e-11,False,3
52,2.2176954688530017e-08,0.0027379758985359793,2.5791560226190003e-09,1.8777494095460006e-06,0.00032396958150149996,5.184239877132002e-05,1.4695708931079991e-08,8.879287540938993e-05,7.418795854289002e-06,4.184547942606001e-05,2.1222300653230022e-05,2.2795233114450013e-07,0.0027555426360670013,1.6022702424830021e-09,9.113836060955949e-09,0.00010004891928310003,0.00014101303841050001,8.759421888228002e-06,8.40324426083499e-11,False,3
53,1.918658601665002e-08,0.0024261556980977508,1.4237333801530021e-09,1.168748532770001e-06,0.00047639253428769993,6.283397408847003e-05,8.788209629335004e-09,8.908729715614004e-05,9.632527576654998e-06,4.208342213965003e-05,3.1684424842030015e-05,2.9734944199800014e-07,0.0027391410838370003,1.2047184323930004e-09,1.156984874757783e-08,0.0003061280023413001,0.00014014110768799997,1.892915070321998e-06,8.403000633433013e-11,False,3
54,1.9878356475709997e-08,0.00254946463325694,1.2374523650250015e-09,1.028842635225e-06,0.0004239678460996001,6.443271876800004e-05,1.2117764409569996e-08,8.905901950074993e-05,8.930520985633008e-06,4.206052479298e-05,2.8079978169750002e-05,2.467272889629002e-07,0.0027434629229749997,1.3288056614289981e-09,1.0911445926461054e-08,0.0002443083737005999,0.000140228534165,2.321469944736002e-06,1.7732178450170025e-10,False,3
55,1.9630368566829994e-08,0.002557501083729431,1.1005580010379993e-09,7.535602509895998e-07,0.0004335747024070002,7.280305354592999e-05,1.0454822537129995e-08,8.915360790517004e-05,9.099921535407996e-06,4.213698761461e-05,2.8760432374089974e-05,2.6823653333850014e-07,0.0027431144211160006,1.3228618969140016e-09,1.1157742850358412e-08,0.0002683176497415001,0.00013995188887150006,3.8244068839869965e-06,1.454685683092001e-10,False,3
56,4.5260139797809994e-08,0.002464095423385661,9.988767847158012e-10,8.111430751440998e-07,0.00012340161296020002,5.0342319096660004e-05,7.661986378720008e-09,8.788173973977007e-05,3.641498142348e-06,4.111874797989002e-05,7.887992402644004e-06,2.7692590916260017e-07,0.002837816989411999,2.3793420701129988e-09,3.0893955540712063e-09,2.364230880242e-08,0.00014368863415000006,1.9293831374539997e-06,8.403029826663007e-11,False,3
57,1.9218992726349988e-08,0.002538974900656069,1.310219026318999e-09,9.407775181061994e-07,0.00045271635260269995,6.895766695502997e-05,1.1281463045229992e-08,8.899623980313998e-05,9.391699959256992e-06,4.200976243637001e-05,3.0104518559749992e-05,2.965632407942002e-07,0.0027537273334079988,1.2934689631810012e-09,1.1506351472897113e-08,0.0003072316730996999,0.00014040938856859996,2.7057573450569987e-06,8.403081122944016e-11,False,3
58,2.0531695486379987e-08,0.0026277627848342,1.8539555514250011e-09,1.5059805734170009e-06,0.0003872642822226001,7.830682458595001e-05,1.1814432027140004e-08,8.894077339498999e-05,8.402064012488998e-06,4.1965078422829966e-05,2.5553004958700023e-05,5.102455207642003e-07,0.0027682429149130014,1.4246808870409978e-09,1.0333581233134606e-08,0.0001925619592019,0.00014057535473249995,3.0757467342309977e-06,8.403168219500006e-11,False,3
6,1.9226451907520014e-08,0.0024759425645921383,1.0866764023990007e-09,1.193471641136e-06,0.0004638411975661,5.8413110892849975e-05,1.3244698966159989e-08,8.897974936100001e-05,9.492966337147001e-06,4.199640105248e-05,3.0844616385350026e-05,4.072976058282004e-07,0.0027447117458060002,1.2459139423579977e-09,1.1499309409724534e-08,0.00030538927963989987,0.0001404579900646,2.611065085482e-06,8.403081271261012e-11,False,3
7,1.8514869224789993e-08,0.002477305992261471,1.0868226397509994e-09,9.853599040026005e-07,0.0004977463325954998,5.570566365045997e-05,1.4358388194520008e-08,8.898137437481004e-05,1.004421804280999e-05,4.1997669224120006e-05,3.3262144535480014e-05,2.839985116970999e-07,0.0027418257983440005,1.2174521486570022e-09,1.2223266634332949e-08,0.0003863036198635,0.00014045151079350001,2.258588793510001e-06,1.7282533992190005e-10,False,3
8,1.9723091502249986e-08,0.0025109615964079993,1.0890271290989995e-09,1.1047725292619993e-06,0.00043629222968589993,6.398122315529993e-05,1.5500388420890008e-08,8.897679269600004e-05,9.085721240146998e-06,4.1994205231710036e-05,2.8922613897450017e-05,3.5298539366089995e-07,0.002750570631910001,1.2937915521639986e-09,1.1034623994493005e-08,0.0002577497950886,0.00014046784438620003,4.061428563713997e-06,2.100001671393004e-10,False,3
9,1.9187355973840006e-08,0.002586619651039921,1.7721626402069992e-09,1.1852184761189999e-06,0.00044523592085549997,5.503590341246002e-05,9.394457431093989e-09,8.901989687095995e-05,9.330715346113008e-06,4.202883003812e-05,2.9606101591750008e-05,2.9174774628290014e-07,0.0027376058279619986,1.3282999433169986e-09,1.153512468097045e-08,0.00030727488002650004,0.0001403396381965,3.0236594811969985e-06,1.0436574801190004e-10,False,3
base,1.8267724412609998e-08,0.0028536044951095406,1.4231290596980017e-09,8.410737982014001e-07,0.0004346633469998001,6.184997243005999e-05,8.702216789448994e-09,8.895904765156995e-05,9.515986614297004e-06,4.197903920119003e-05,2.8876182653759992e-05,3.047058782916002e-07,0.0027502103575680007,1.4945919273090012e-09,1.2421325788661371e-08,0.00029458107816130005,0.0001405216382755,2.4247750018780025e-06,1.0970017022299983e-10,True,3
observed,2.951209226666384e-08,0.002454708915685031,1.3182567385564047e-09,5.754399373371567e-07,0.00018197008586099826,5.7543993733715664e-05,7.762471166286927e-09,9.120108393559096e-05,1.5135612484362072e-06,4.466835921509635e-05,2.0417379446695274e-05,2.570395782768865e-07,0.002454708915685031,9.772372209558111e-08,1.9952623149688828e-09,0.00019952623149688788,0.00013182567385564074,1.6218100973589298e-06,7.943282347242822e-11,False,3
